Frekuensi,Z-M1,Fase,Kategori
5500,3798.571,-8.405,diabetes
6000,3792.17,-8.315,diabetes
6500,3796.792,-8.21,diabetes
7000,3791.459,-8.142,diabetes
7500,3785.78,-8.266,diabetes
8000,3789.684,-7.988,diabetes
8500,3796.08,-8.135,diabetes
9000,3789.684,-7.898,diabetes
9500,3785.425,-7.55,diabetes
10000,3780.463,-7.784,diabetes
15000,3769.852,-6.095,diabetes
20000,3755.047,-6.194,diabetes
25000,3735.046,-4.549,diabetes
30000,3716.545,-2.892,diabetes
35000,3696.057,-0.985,diabetes
40000,3674.305,0.996,diabetes
45000,3666.396,3.054,diabetes
50000,3653.023,5.23,diabetes
55000,3622.349,7.395,diabetes
60000,3604.069,9.617,diabetes
65000,3567.45,11.786,diabetes
70000,3545.458,13.984,diabetes
75000,3515.687,16.185,diabetes
80000,3493.359,18.371,diabetes
85000,3461.106,20.516,diabetes
90000,3433.974,22.695,diabetes
95000,3410.887,24.841,diabetes
100000,3393.673,27.046,diabetes
100,4577.991,14.256,diabetes
150,4335.448,7.846,diabetes
200,4212.521,3.689,diabetes
250,4115.383,0.89,diabetes
300,4061.754,-1.062,diabetes
350,4023.499,-2.506,diabetes
400,3996.823,-3.596,diabetes
450,3977.398,-4.445,diabetes
500,3965.12,-5.05,diabetes
550,3955.472,-5.515,diabetes
600,3945.109,-5.851,diabetes
650,3939.938,-5.936,diabetes
700,3937.355,-6.586,diabetes
750,3929.983,-6.834,diabetes
800,3919.32,-6.806,diabetes
850,3907.221,-7.215,diabetes
900,3909.051,-7.194,diabetes
950,3899.906,-7.327,diabetes
1000,3899.541,-7.495,diabetes
1500,3859.558,-7.925,diabetes
2000,3844.4,-8.187,diabetes
2500,3840.08,-8.492,diabetes
3000,3826.432,-8.54,diabetes
3500,3827.508,-8.584,diabetes
4000,3826.074,-8.484,diabetes
4500,3821.059,-8.536,diabetes
5000,3812.119,-8.197,diabetes
5500,3814.62,-8.379,diabetes
6000,3814.62,-8.74,diabetes
6500,3812.833,-8.291,diabetes
7000,3802.488,-7.952,diabetes
7500,3813.191,-7.979,diabetes
8000,3811.405,-8.327,diabetes
8500,3805.695,-7.665,diabetes
9000,3801.775,-8.186,diabetes
9500,3808.906,-7.681,diabetes
10000,3800.351,-7.546,diabetes
15000,3786.844,-7.638,diabetes
20000,3775.508,-5.947,diabetes
25000,3755.047,-4.521,diabetes
30000,3746.261,-2.84,diabetes
35000,3715.153,-0.99,diabetes
40000,3697.096,0.991,diabetes
45000,3674.305,3.056,diabetes
50000,3667.427,5.227,diabetes
55000,3643.111,7.444,diabetes
60000,3628.803,9.633,diabetes
65000,3594.963,11.806,diabetes
70000,3561.772,13.955,diabetes
75000,3537.494,16.175,diabetes
80000,3509.763,18.373,diabetes
85000,3487.8,20.529,diabetes
90000,3455.274,22.7,diabetes
95000,3422.09,24.888,diabetes
100000,3402.588,27.012,diabetes
100,4594.319,14.058,diabetes
150,4371.751,7.816,diabetes
200,4245.01,3.638,diabetes
250,4160.744,0.882,diabetes
300,4101.525,-1.033,diabetes
350,4061.374,-2.421,diabetes
400,4043.15,-3.378,diabetes
450,4013.334,-4.311,diabetes
500,3988.593,-4.838,diabetes
550,3981.126,-5.337,diabetes
600,3966.977,-5.711,diabetes
650,3960.293,-5.476,diabetes
700,3955.843,-6.511,diabetes
750,3949.547,-6.781,diabetes
800,3955.102,-6.877,diabetes
850,3941.045,-7.077,diabetes
900,3937.723,-7.102,diabetes
950,3935.142,-7.325,diabetes
1000,3933.299,-7.491,diabetes
1500,3900.637,-8.664,diabetes
2000,3888.595,-8.282,diabetes
2500,3872.96,-8.476,diabetes
3000,3866.072,-8.741,diabetes
3500,3858.111,-9.216,diabetes
4000,3854.137,-8.962,diabetes
4500,3855.943,-8.663,diabetes
5000,3851.971,-8.711,diabetes
5500,3853.776,-8.992,diabetes
6000,3848.364,-8.82,diabetes
6500,3851.25,-8.684,diabetes
7000,3845.841,-8.594,diabetes
7500,3840.08,-8.007,diabetes
8000,3840.44,-8.735,diabetes
8500,3837.203,-8.31,diabetes
9000,3839.36,-8.204,diabetes
9500,3830.019,-8.227,diabetes
10000,3835.046,-8.057,diabetes
15000,3821.417,-7.063,diabetes
20000,3807.122,-5.586,diabetes
25000,3794.302,-4.498,diabetes
30000,3776.923,-2.864,diabetes
35000,3756.102,-0.99,diabetes
40000,3734.696,0.991,diabetes
45000,3710.63,3.07,diabetes
50000,3686.719,5.207,diabetes
55000,3666.739,7.394,diabetes
60000,3651.997,9.61,diabetes
65000,3626.424,11.806,diabetes
70000,3603.731,13.982,diabetes
75000,3564.109,16.238,diabetes
80000,3536.169,18.416,diabetes
85000,3512.065,20.555,diabetes
90000,3481.596,22.753,diabetes
95000,3450.422,24.929,diabetes
100000,3422.09,27.071,diabetes
100,4608.546,13.938,diabetes
150,4352.542,7.867,diabetes
200,4237.857,3.693,diabetes
250,4134.707,0.883,diabetes
300,4082.356,-1.049,diabetes
350,4046.94,-2.424,diabetes
400,4016.343,-3.396,diabetes
450,3996.074,-4.138,diabetes
500,3978.516,-4.767,diabetes
550,3972.557,-5.155,diabetes
600,3953.62,-5.2,diabetes
650,3945.848,-6.449,diabetes
700,3944.37,-6.457,diabetes
750,3939.569,-6.758,diabetes
800,3932.93,-6.879,diabetes
850,3935.142,-7.17,diabetes
900,3924.464,-7.188,diabetes
950,3919.32,-7.36,diabetes
1000,3915.283,-7.431,diabetes
1500,3886.046,-8.711,diabetes
2000,3872.598,-8.849,diabetes
2500,3852.332,-8.998,diabetes
3000,3845.12,-9.031,diabetes
3500,3851.61,-9.241,diabetes
4000,3842.599,-8.801,diabetes
4500,3840.44,-8.888,diabetes
5000,3837.203,-9,diabetes
5500,3835.765,-8.803,diabetes
6000,3832.173,-8.82,diabetes
6500,3830.378,-8.603,diabetes
7000,3837.562,-8.713,diabetes
7500,3831.814,-8.922,diabetes
8000,3829.302,-8.591,diabetes
8500,3819.269,-8.358,diabetes
9000,3820.701,-8.781,diabetes
9500,3822.849,-8.096,diabetes
10000,3819.985,-7.924,diabetes
15000,3804.269,-8.318,diabetes
20000,3791.104,-5.733,diabetes
25000,3781.526,-4.415,diabetes
30000,3764.205,-2.856,diabetes
35000,3740.65,-0.984,diabetes
40000,3715.849,0.995,diabetes
45000,3690.521,3.049,diabetes
50000,3679.817,5.213,diabetes
55000,3664.335,7.418,diabetes
60000,3645.501,9.619,diabetes
65000,3618.279,11.803,diabetes
70000,3586.552,13.981,diabetes
75000,3559.437,16.186,diabetes
80000,3528.887,18.39,diabetes
85000,3499.584,20.516,diabetes
90000,3467.598,22.751,diabetes
95000,3441.382,24.924,diabetes
100000,3414.404,27.09,diabetes
100,4629.318,14.138,diabetes
150,4400.517,7.857,diabetes
200,4259.352,3.606,diabetes
250,4175.975,0.89,diabetes
300,4117.311,-1.045,diabetes
350,4086.566,-2.477,diabetes
400,4059.852,-3.526,diabetes
450,4033.69,-4.242,diabetes
500,4004.695,-4.686,diabetes
550,3988.967,-5.206,diabetes
600,3984.858,-5.851,diabetes
650,3977.771,-4.971,diabetes
700,3969.952,-6.517,diabetes
750,3966.234,-6.526,diabetes
800,3955.843,-6.866,diabetes
850,3953.249,-7.138,diabetes
900,3949.917,-7.123,diabetes
950,3949.917,-7.332,diabetes
1000,3947.327,-7.467,diabetes
1500,3925.2,-8.858,diabetes
2000,3907.953,-9.15,diabetes
2500,3892.24,-8.401,diabetes
3000,3887.867,-9.144,diabetes
3500,3878.407,-9.004,diabetes
4000,3872.598,-9.033,diabetes
4500,3868.971,-9,diabetes
5000,3866.797,-8.361,diabetes
5500,3864.624,-8.227,diabetes
6000,3866.797,-8.342,diabetes
6500,3857.75,-8.431,diabetes
7000,3860.281,-8.816,diabetes
7500,3861.004,-8.456,diabetes
8000,3853.054,-8.453,diabetes
8500,3850.528,-8.298,diabetes
9000,3854.498,-8.662,diabetes
9500,3845.841,-8.596,diabetes
10000,3854.86,-8.231,diabetes
15000,3839.001,-7.246,diabetes
20000,3826.074,-5.9,diabetes
25000,3813.191,-4.468,diabetes
30000,3797.147,-2.893,diabetes
35000,3772.679,-0.973,diabetes
40000,3760.68,0.996,diabetes
45000,3721.075,3.068,diabetes
50000,3701.602,5.199,diabetes
55000,3680.852,7.418,diabetes
60000,3662.619,9.619,diabetes
65000,3639.358,11.8,diabetes
70000,3613.875,13.989,diabetes
75000,3582.858,16.204,diabetes
