Frekuensi,Z-M1,Fase,Kategori
9000,4481.233,1.368,Sehat
9500,4485.014,1.518,Sehat
10000,4484.173,1.51,Sehat
15000,4469.074,2.28,Sehat
20000,4442.772,3.267,Sehat
25000,4429.472,4.418,Sehat
30000,4419.523,5.892,Sehat
35000,4397.22,7.556,Sehat
40000,4388.165,9.514,Sehat
45000,4369.703,11.47,Sehat
50000,4361.114,13.673,Sehat
55000,4345.207,15.88,Sehat
60000,4341.545,18.097,Sehat
65000,4328.953,20.395,Sehat
70000,4322.469,22.554,Sehat
75000,4315.994,24.831,Sehat
80000,4304.686,27.06,Sehat
85000,4286.174,29.315,Sehat
90000,4273.342,31.504,Sehat
95000,4252.573,33.773,Sehat
100000,4233.095,35.985,Sehat
100,6414.448,25.04,Sehat
150,5940.095,20.016,Sehat
200,5651.273,16.159,Sehat
250,5430.156,13.341,Sehat
300,5271.249,11.166,Sehat
350,5180.184,9.653,Sehat
400,5078.306,8.416,Sehat
450,5015.417,7.469,Sehat
500,4963.528,6.673,Sehat
550,4926.925,6.027,Sehat
600,4896.552,5.502,Sehat
650,4873.667,5.055,Sehat
700,4859.988,4.701,Sehat
750,4842.716,4.353,Sehat
800,4819.179,4.065,Sehat
850,4804.302,3.812,Sehat
900,4784.537,3.607,Sehat
950,4763.068,3.402,Sehat
1000,4734.149,3.313,Sehat
1500,4669.831,2.376,Sehat
2000,4618.92,1.856,Sehat
2500,4586.577,1.623,Sehat
3000,4553.607,1.456,Sehat
3500,4534.874,1.348,Sehat
4000,4525.112,1.3,Sehat
4500,4518.334,1.288,Sehat
5000,4508.607,1.348,Sehat
5500,4505.651,1.234,Sehat
6000,4504.385,1.284,Sehat
6500,4495.11,1.289,Sehat
7000,4493.426,1.307,Sehat
7500,4488.377,1.225,Sehat
8000,4493.005,1.335,Sehat
8500,4481.653,1.486,Sehat
9000,4484.173,1.453,Sehat
9500,4482.073,1.634,Sehat
10000,4476.198,1.591,Sehat
15000,4462.38,2.344,Sehat
20000,4452.357,3.327,Sehat
25000,4436.533,4.446,Sehat
30000,4417.867,5.878,Sehat
35000,4397.22,7.612,Sehat
40000,4388.165,9.539,Sehat
45000,4374.209,11.528,Sehat
50000,4366.838,13.644,Sehat
55000,4355.805,15.88,Sehat
60000,4343.172,18.092,Sehat
65000,4331.388,20.342,Sehat
70000,4325.71,22.602,Sehat
75000,4311.144,24.816,Sehat
80000,4296.225,27.045,Sehat
85000,4279.352,29.371,Sehat
90000,4267.341,31.554,Sehat
95000,4248.591,33.787,Sehat
100000,4231.508,36.025,Sehat
100,6463.313,24.92,Sehat
150,5938.426,19.742,Sehat
200,5642.279,15.943,Sehat
250,5438.302,13.096,Sehat
300,5287.572,11.107,Sehat
350,5187.955,9.568,Sehat
400,5090.215,8.335,Sehat
450,5036.136,7.448,Sehat
500,4990.106,6.601,Sehat
550,4944.961,6.064,Sehat
600,4915.398,5.481,Sehat
650,4886.012,4.99,Sehat
700,4873.211,4.595,Sehat
750,4855.892,4.384,Sehat
800,4838.18,4.072,Sehat
850,4814.215,3.821,Sehat
900,4803.402,3.567,Sehat
950,4789.022,3.468,Sehat
1000,4771.555,3.352,Sehat
1500,4690.441,2.413,Sehat
2000,4652.363,1.974,Sehat
2500,4620.652,1.68,Sehat
3000,4589.586,1.549,Sehat
3500,4555.741,1.535,Sehat
4000,4548.49,1.518,Sehat
4500,4535.299,1.492,Sehat
5000,4528.081,1.498,Sehat
5500,4521.721,1.464,Sehat
6000,4511.988,1.477,Sehat
6500,4507.34,1.557,Sehat
7000,4506.496,1.528,Sehat
7500,4503.963,1.614,Sehat
8000,4501.854,1.485,Sehat
8500,4503.119,1.538,Sehat
9000,4498.481,1.606,Sehat
9500,4497.638,1.629,Sehat
10000,4495.952,1.697,Sehat
15000,4480.394,2.352,Sehat
20000,4465.307,3.31,Sehat
