,Frekuensi,Z-M1,Fase,Kategori
273,4000,3994.951,-3.774,prediabet
274,700,3626.085,-6.202,diabetes
275,6500,4516.217,1.599,Sehat
276,850,3836.484,-3.179,prediabet
277,9000,3789.684,-7.898,diabetes
278,40000,3702.99,1.0,diabetes
279,8500,4509.875,1.624,Sehat
280,850,3368.647,-7.065,diabetes
281,1500,4166.596,-2.034,prediabet
282,150,5956.257,19.824,Sehat
283,75000,3915.649,22.248,prediabet
284,15000,3600.65,-8.268,diabetes
285,20000,3796.436,-1.211,prediabet
286,350,3871.147,-2.465,diabetes
287,3000,4593.028,1.599,Sehat
288,60000,3524.262,9.583,diabetes
289,15000,4002.069,-1.298,prediabet
290,850,3826.745,-8.113,diabetes
291,8000,3386.051,-10.506,diabetes
292,100,4908.955,19.695,prediabet
293,20000,4442.772,3.267,Sehat
294,80000,2925.065,18.402,diabetes
295,650,3977.771,-4.971,diabetes
296,900,4017.849,-3.131,prediabet
297,25000,3590.587,-6.76,diabetes
298,550,3641.361,-6.536,diabetes
299,650,3813.859,-7.41,diabetes
300,8500,4503.963,1.573,Sehat
301,450,5027.65,7.28,Sehat
302,500,4168.938,-0.42,prediabet
303,80000,3842.239,24.46,prediabet
304,35000,3543.133,-3.219,diabetes
305,95000,3327.514,23.788,diabetes
306,450,3840.8,-4.716,diabetes
307,70000,4343.172,22.748,Sehat
308,600,3953.62,-5.2,diabetes
309,60000,3381.612,9.608,diabetes
310,850,3496.264,-8.222,diabetes
311,7500,3350.036,-9.271,diabetes
312,1500,3914.549,-4.014,prediabet
313,550,3835.765,-4.931,diabetes
314,200,4237.857,3.693,diabetes
315,100,4494.213,13.616,diabetes
316,85000,4015.215,26.375,prediabet
317,650,4870.472,5.098,Sehat
318,100000,4233.095,35.985,Sehat
319,55000,3869.696,12.392,prediabet
320,7500,4164.644,-2.527,prediabet
321,550,4944.961,5.822,Sehat
322,850,3718.635,-9.448,diabetes
323,2500,4078.151,-2.373,prediabet
324,900,4773.343,3.695,Sehat
325,5000,4009.2,-3.529,prediabet
326,100000,3781.172,31.583,prediabet
327,100000,3255.699,27.09,diabetes
328,9000,3271.293,-10.447,diabetes
329,8500,3697.052,-9.611,diabetes
330,4000,4018.225,-3.724,prediabet
331,9500,3401.59,-9.176,diabetes
332,5000,3837.203,-9.0,diabetes
333,200,4509.875,9.512,prediabet
334,7000,4010.703,-3.323,prediabet
335,3500,3235.629,-10.665,diabetes
336,550,3842.599,-5.573,diabetes
337,6500,3610.829,-8.339,diabetes
338,40000,3582.522,-1.083,diabetes
339,2000,3976.28,-3.621,prediabet
340,2000,4067.085,-2.272,prediabet
341,90000,3023.424,20.454,diabetes
342,15000,3615.229,-9.356,diabetes
343,85000,3388.59,20.531,diabetes
344,55000,3664.335,7.418,diabetes
345,400,5062.154,8.502,Sehat
346,350,4389.399,3.45,prediabet
347,100000,3900.271,33.149,prediabet
348,250,4101.141,0.882,diabetes
349,450,4161.134,1.268,prediabet
350,40000,3307.351,-1.074,diabetes
351,25000,3439.125,-4.411,diabetes
352,60000,3456.851,8.538,diabetes
353,4000,4080.444,-2.689,prediabet
354,85000,4046.56,26.36,prediabet
355,8500,4473.263,1.656,Sehat
356,8000,4502.275,1.544,Sehat
357,90000,4301.864,31.769,Sehat
358,3000,3750.476,-5.085,prediabet
359,85000,3412.764,19.685,diabetes
360,20000,3868.971,-1.239,prediabet
361,9000,3852.332,-3.633,prediabet
362,6500,3864.261,-3.976,prediabet
363,95000,3245.914,24.098,diabetes
364,200,4441.524,8.423,prediabet
365,950,3758.214,-9.601,diabetes
366,5000,3672.884,-9.652,diabetes
367,500,3971.812,-5.055,diabetes
368,200,4452.774,8.419,prediabet
369,1500,3636.588,-9.104,diabetes
370,500,3533.85,-7.227,diabetes
371,100000,3797.859,33.267,prediabet
372,5500,3698.092,-9.611,diabetes
373,250,3764.91,-1.559,diabetes
374,900,4784.537,3.607,Sehat
375,850,4073.569,-1.955,prediabet
376,8000,4506.496,1.529,Sehat
377,60000,3135.65,7.392,diabetes
378,1500,3538.777,-9.112,diabetes
379,9500,3190.474,-10.439,diabetes
380,50000,4355.805,13.665,Sehat
381,55000,3262.417,5.297,diabetes
382,75000,4336.666,25.045,Sehat
383,75000,3408.65,16.217,diabetes
384,6000,3848.364,-8.82,diabetes
385,5000,3705.419,-8.109,diabetes
386,90000,3344.705,21.826,diabetes
387,7000,4513.679,1.528,Sehat
388,95000,3759.975,31.11,prediabet
389,55000,3943.631,11.933,prediabet
390,650,3819.58,-7.36,diabetes
391,15000,4002.069,-2.586,prediabet
392,600,3840.033,-7.019,diabetes
393,950,4123.488,-1.46,prediabet
394,900,4803.402,3.567,Sehat
395,20000,4024.63,0.144,prediabet
396,45000,3894.429,7.558,prediabet
397,9500,4156.458,-2.339,prediabet
398,8000,3699.478,-9.471,diabetes
399,20000,3685.294,-6.919,diabetes
400,4000,4019.355,-2.73,prediabet
401,80000,4320.444,27.202,Sehat
402,30000,3634.247,-4.949,diabetes
403,75000,3464.958,15.019,diabetes
404,6000,3818.911,-4.5,prediabet
405,5500,4095.382,-2.524,prediabet
406,60000,3904.293,15.724,prediabet
407,350,3753.64,-5.041,diabetes
408,300,3963.262,-1.093,diabetes
409,70000,3907.221,20.043,prediabet
410,550,4942.182,5.83,Sehat
411,45000,3876.228,9.213,prediabet
412,100,5033.305,20.616,prediabet
413,4000,3609.814,-10.83,diabetes
414,600,3826.074,-5.397,diabetes
415,800,4179.106,-1.187,prediabet
416,35000,4200.697,4.856,prediabet
417,25000,4232.301,1.218,prediabet
418,7500,3709.195,-9.338,diabetes
419,7000,3268.842,-10.793,diabetes
420,7000,3969.952,-2.472,prediabet
421,350,3990.088,-2.471,diabetes
422,95000,3682.577,29.226,prediabet
423,550,3759.975,-7.97,diabetes
424,6500,3546.412,-9.569,diabetes
425,5000,3494.627,-9.525,diabetes
426,600,4146.345,-1.746,prediabet
427,750,4072.805,-0.866,prediabet
