,Frekuensi,Z-M1,Fase,Kategori
403,850,3667.383,-8.092,diabetes
404,950,4789.471,3.375,Sehat
405,8500,3491.681,-9.244,diabetes
406,40000,4417.867,9.636,Sehat
407,95000,3758.214,29.46,prediabet
408,3500,4034.824,-2.857,prediabet
409,60000,3427.224,9.633,diabetes
410,8500,3873.323,-3.934,prediabet
411,8000,3222.016,-10.78,diabetes
412,550,4160.744,-1.004,prediabet
413,10000,3399.083,-10.016,diabetes
414,400,4275.345,2.25,prediabet
415,60000,3636.632,9.601,diabetes
416,300,4101.525,-1.033,diabetes
417,4000,3703.639,-9.582,diabetes
418,7500,3191.969,-10.727,diabetes
419,7000,4490.48,1.307,Sehat
420,10000,3730.849,-7.379,diabetes
421,70000,3544.419,12.848,diabetes
422,60000,3720.726,13.976,prediabet
423,9500,3376.863,-10.346,diabetes
424,9500,4506.074,1.667,Sehat
425,650,4101.91,-0.439,prediabet
426,25000,3813.191,-4.468,diabetes
427,700,3818.15,-7.671,diabetes
428,550,3809.217,-6.573,diabetes
429,350,5174.848,9.678,Sehat
430,6000,3860.281,-4.287,prediabet
431,6000,3814.62,-8.74,diabetes
432,1500,3633.863,-9.112,diabetes
433,50000,4350.503,13.602,Sehat
434,45000,4185.768,8.97,prediabet
435,850,4082.356,-1.222,prediabet
436,150,4196.713,6.342,diabetes
437,5000,3361.711,-10.702,diabetes
438,150,4596.041,11.522,prediabet
439,60000,3993.829,15.675,prediabet
440,700,4088.098,-0.701,prediabet
441,20000,2958.102,-6.877,diabetes
442,150,4496.795,12.823,prediabet
443,70000,3613.875,13.989,diabetes
444,2500,3248.996,-10.525,diabetes
445,4500,4006.571,-3.735,prediabet
446,550,3786.489,-7.905,diabetes
447,70000,3168.134,11.912,diabetes
448,900,4251.776,-1.306,prediabet
449,8000,3882.043,-4.233,prediabet
450,1500,3756.806,-8.798,diabetes
451,1000,4320.04,-1.529,prediabet
452,20000,3906.489,-1.358,prediabet
453,80000,3478.988,16.325,diabetes
454,800,3790.039,-6.849,diabetes
455,400,3795.369,-5.748,diabetes
456,600,4125.807,-1.958,prediabet
457,5000,3610.152,-8.248,diabetes
458,450,3671.896,-6.793,diabetes
459,7000,3949.177,-3.485,prediabet
460,9500,3660.561,-8.372,diabetes
461,1500,3416.324,-10.287,diabetes
462,2500,3767.688,-9.368,diabetes
463,50000,3976.28,11.168,prediabet
464,100,4401.701,13.371,diabetes
465,2000,3133.263,-9.352,diabetes
466,9500,4503.541,1.624,Sehat
467,85000,3892.24,26.557,prediabet
468,550,4153.733,-1.046,prediabet
469,4000,3257.53,-11.054,diabetes
470,550,3806.052,-6.62,diabetes
471,4000,3501.181,-9.566,diabetes
472,5000,3961.035,-2.378,prediabet
473,400,5070.699,8.452,Sehat
474,3500,3728.054,-7.696,diabetes
475,350,3929.615,-2.443,diabetes
476,75000,3783.652,21.185,prediabet
477,250,3969.904,-0.359,diabetes
478,6000,3622.01,-10.695,diabetes
479,3500,4097.684,-2.681,prediabet
480,15000,3864.261,-2.44,prediabet
481,3500,3685.683,-10.66,diabetes
482,6500,4068.229,-2.553,prediabet
483,65000,3260.239,10.959,diabetes
484,2000,3651.654,-10.627,diabetes
485,700,4148.288,-0.705,prediabet
486,35000,4441.94,7.731,Sehat
487,850,4236.666,-1.188,prediabet
488,30000,2934.637,-3.82,diabetes
489,10000,3467.598,-7.686,diabetes
490,45000,3749.773,7.441,prediabet
491,300,3963.634,-1.075,diabetes
492,250,5429.138,13.501,Sehat
493,700,4303.476,-0.587,prediabet
494,75000,3819.627,20.72,prediabet
495,10000,3962.52,-1.926,prediabet
496,4500,3732.552,-9.214,diabetes
497,8500,3585.837,-9.414,diabetes
498,200,4441.108,8.978,prediabet
499,9000,3696.359,-9.432,diabetes
500,3500,3858.834,-3.987,prediabet
501,55000,3622.349,7.395,diabetes
502,65000,3894.794,16.395,prediabet
503,90000,3769.852,27.252,prediabet
504,950,3879.498,-7.375,diabetes
505,400,3844.714,-4.584,diabetes
506,400,4329.359,2.338,prediabet
507,550,4047.319,-0.771,prediabet
